rodada,Polinomial q=9 - MSE,Polinomial q=9 - R2,MQO tradicional - MSE,MQO tradicional - R2,MQO regularizado lambda=0.25 - MSE,MQO regularizado lambda=0.25 - R2,MQO regularizado lambda=0.5 - MSE,MQO regularizado lambda=0.5 - R2,MQO regularizado lambda=0.75 - MSE,MQO regularizado lambda=0.75 - R2,MQO regularizado lambda=1 - MSE,MQO regularizado lambda=1 - R2
24,8.839638041563948e+21,0.9978660511430966,1.7395772539948407e+24,0.5800541973321933,1.7314570858549488e+24,0.5820144612523345,1.7237895036711561e+24,0.5838654678387334,1.7165608999234063e+24,0.5856105020394539,1.709758102565942e+24,0.5872527436760964
25,2.472304278375001e+21,0.992616442405352,1.4641771488273994e+24,-3.3727774132399064,1.440914327827832e+24,-3.3033028019767707,1.4181141718162328e+24,-3.2352099436052857,1.395765571985883e+24,-3.1684656615804263,1.3738577405259454e+24,-3.1030377380140717
26,1.4376105423890752e+22,0.991131851316303,1.8162458374588424e+24,-0.12038258330827456,1.7897977239865993e+24,-0.10406760816310312,1.7639792425332825e+24,-0.08814103239281224,1.7387742997431428e+24,-0.07259292853322452,1.714167282336813e+24,-0.05741366526356262
27,5.09153747568914e+22,0.9927771049301428,4.163894106492991e+24,0.4093067102658441,4.160337727244605e+24,0.4098112210204513,4.157145927074897e+24,0.4102640123004886,4.1543071855594834e+24,0.4106667184024113,4.1518103578412746e+24,0.4110209203444032
28,7.148511161873174e+20,0.9993633412541122,1.5145981222046781e+24,-0.34892723697465144,1.4893923681635183e+24,-0.3264785572515363,1.464760511940488e+24,-0.30454100083351854,1.4406880905026188e+24,-0.2831016866937337,1.417161069278121e+24,-0.26214811540024097
29,8.498176394452793e+21,0.9992038451440287,5.645644158057157e+24,0.4710857008737356,5.668973320991299e+24,0.4689000994583675,5.692429650976388e+24,0.46670258434993983,5.716004528715611e+24,0.46449396305052015,5.739689669828997e+24,0.46227501168536655
30,2.118374753355896e+22,0.9973505006205196,3.3078052874475535e+24,0.5862852857998596,3.325143975153167e+24,0.5841166967792318,3.342538175859521e+24,0.5819411646216175,3.359982787149398e+24,0.5797593274979176,3.3774729121893844e+24,0.5775717978662002
31,8.930321956461928e+21,0.9989928062635896,4.12182205013658e+24,0.5351261273965751,4.1376654452300426e+24,0.533339252479925,4.1536382345611923e+24,0.5315377840171116,4.1697331261728746e+24,0.5297225444212131,4.18594310337089e+24,0.527894325060165
32,6.909961799922671e+21,0.9990876402476712,3.6523874872828004e+24,0.5177554609138979,3.6594824787919585e+24,0.5168186706850224,3.666932123495781e+24,0.5158350536703822,3.67472323817525e+24,0.5148063505219213,3.6828430925516015e+24,0.5137342420874236
33,2.881227560381284e+21,0.9946621478796603,1.392580898233853e+24,-1.5799388436359387,1.366829388286388e+24,-1.5322307924340288,1.3416241490058332e+24,-1.4855347793223208,1.3169517430205496e+24,-1.4398259098066486,1.2927991261940172e+24,-1.3950800179125018
34,5.516399004225822e+21,0.9993437372647235,4.4116415100440317e+24,0.475165606725815,4.422306481608471e+24,0.4738968400167419,4.433081098872133e+24,0.47261502922104115,4.443959699702962e+24,0.4713208479386951,4.454936832310669e+24,0.4700149447462122
35,5.478770830940723e+21,0.9987621467837268,2.734507865399734e+24,0.3821754074849104,2.724113762088816e+24,0.3845238127405264,2.7141221203826373e+24,0.3867812873098212,2.7045214340311203e+24,0.38895043087237735,2.695300557692697e+24,0.39103376156544367
36,3.0506129894230595e+21,0.9997293519229409,5.525792523192524e+24,0.5097558668322622,5.555682219624631e+24,0.5071040755721844,5.585497932909327e+24,0.504458848040987,5.615236538854868e+24,0.5018204614145985,5.644895079137936e+24,0.49918917815322617
37,2.2267954944078325e+22,0.9977261072875477,4.7365010483900585e+24,0.5163320905083499,4.7761259674402025e+24,0.5122857910216703,4.815646111220781e+24,0.5082501906639634,4.855057561776653e+24,0.5042256895173054,4.894356613605981e+24,0.5002126659690987
38,2.2253119922896015e+22,0.9954800583904803,2.707731007474605e+24,0.4500193190673093,2.6948818197201866e+24,0.4526291813509332,2.6826377171471263e+24,0.45511614178088444,2.6709808803645617e+24,0.45748381974206254,2.659894055649005e+24,0.4597357197238596
39,1.3784950872174685e+22,0.9962879577071152,1.5613006489458777e+24,0.5795694816370944,1.5516860082204354e+24,0.5821585335194466,1.5425406061541703e+24,0.5846212277698801,1.5338505584500985e+24,0.5869613031828301,1.5256024223848957e+24,0.589182379644793
40,1.3589792427941225e+22,0.9981882254579091,2.7134994573054904e+24,0.6382395637908708,2.7327188116335364e+24,0.6356772629263348,2.752016121532289e+24,0.6331045691202459,2.7713851822471533e+24,0.6305223095829147,2.790820035151939e+24,0.6279312787111129
41,6.996221542455434e+21,0.9991613854779292,4.6106284077027513e+24,0.4473388363835574,4.614589341093622e+24,0.4468640520671401,4.6188250373972546e+24,0.44635633280614284,4.623325570684999e+24,0.4458168683896342,4.6280813531911247e+24,0.44524680807218364
42,3.8453517651130324e+21,0.9981395805418316,1.454221750946088e+24,0.29643304248596736,1.4343347129386824e+24,0.30605458941698627,1.4149913964999352e+24,0.31541307844122657,1.3961773512827322e+24,0.3245155007804519,1.37787856601525e+24,0.33336863522742954
43,2.3483276614727833e+21,0.9950507628800452,1.0473703573691881e+24,-1.2073939408356775,1.0279352058945183e+24,-1.166433228798562,1.0089165942971356e+24,-1.1263503987778423,9.903042387750433e+23,-1.0871237770627271,9.720881570404786e+23,-1.0487323254012098
44,2.0663266270122143e+21,0.972681576691367,1.0818849257529878e+24,-13.30334874776522,1.0665302994976529e+24,-13.100348808498305,1.0514608857848014e+24,-12.901119597859982,1.0366700264303753e+24,-12.705573089548796,1.0221512527133314e+24,-12.513623762109715
45,4.2744328199384596e+21,0.9993805123194838,3.881875329655776e+24,0.43740513763503597,3.8794237145435697e+24,0.43776044684759274,3.8773357646036835e+24,0.4380630505659763,3.87559978308168e+24,0.4383146439847495,3.8742044569440275e+24,0.4385168666863314
46,1.2657042331410312e+22,0.99681696434658,1.9589865298984765e+24,0.507347466654035,1.944249811495928e+24,0.5110535062532954,1.9301238294384122e+24,0.5146059558186303,1.9165909288988304e+24,0.5180092552454465,1.9036340113308092e+24,0.5212677045337992
47,1.928953722765593e+21,0.9952945976728165,1.356801983541091e+24,-2.3097212937426637,1.3358194209394908e+24,-2.2585373810698965,1.3152587584415819e+24,-2.208382632397446,1.295109822843172e+24,-2.1592322316718655,1.2753627355672318e+24,-2.1110620815398624
48,1.428029249643278e+21,0.9986798608074795,1.922026521807319e+24,-0.7768141241753577,1.8854900249621627e+24,-0.7430380222819679,1.8497792415925e+24,-0.7100252497959154,1.8148734132903157e+24,-0.6777566166424867,1.7807523958609355e+24,-0.6462135005554375
49,3.9210998469325294e+21,0.999533008393464,4.1525613565517265e+24,0.5054419997358133,4.163764878751779e+24,0.5041076927721289,4.1751160111854406e+24,0.5027558058582201,4.1866077218720196e+24,0.5013871764825693,4.1982332358246973e+24,0.5000026115264349
50,7.543976322423617e+21,0.999249125052133,4.977001492925008e+24,0.504623877804875,4.99771473609829e+24,0.5025622256040768,5.018504850214611e+24,0.5004929222041125,5.039365387028322e+24,0.4984166094185176,5.060290155615661e+24,0.49633390344879635
51,2.3949819238138926e+21,0.9973499212705207,2.3704601800060705e+24,-1.622945100190269,2.331658396652518e+24,-1.580010420930825,2.2936758482885228e+24,-1.5379822358702238,2.2564924172531556e+24,-1.4968382845543111,2.2200885740997302e+24,-1.4565569573956632
52,2.143619226513559e+22,0.9956600971301981,2.6765809185629097e+24,0.4581079948316654,2.6622219790149445e+24,0.461015059770287,2.6485206525591475e+24,0.4637889864672554,2.635457646726981e+24,0.4664336808139966,2.6230142805507596e+24,0.46895292489943097
53,2.636838106260017e+22,0.9973631965086057,4.986539039283688e+24,0.5013526421079202,5.016920640244135e+24,0.4983145218950612,5.047346536645808e+24,0.495271972196228,5.077809558611895e+24,0.4922257099896896,5.108302837635861e+24,0.4891764221170831
54,1.5955597639308735e+22,0.9900898120759841,1.1496952713192374e+24,0.28591228911061617,1.1369028443440002e+24,0.2938577987803086,1.1244527445923812e+24,0.3015906854449434,1.1123359249717603e+24,0.30911656834800194,1.1005436125777381e+24,0.3164408964318056
55,2.955606442818514e+21,0.9994602587628681,3.0875749116061585e+24,0.4361591995521973,3.0815717201699583e+24,0.43725547878801596,3.0759443114817964e+24,0.43828313405469566,3.0706812488145237e+24,0.4392442538824177,3.065771463149239e+24,0.44014085965192795
56,3.4582860793707957e+22,0.9887740588868938,1.6802363385112693e+24,0.4545785467331732,1.664441883874572e+24,0.4597055840457558,1.649177290050638e+24,0.4646606232602717,1.6344278036234485e+24,0.46944845348252773,1.6201791288182075e+24,0.474073715263431
57,2.477264251246713e+21,0.9995303221752471,3.601771053489502e+24,0.31712089543542843,3.584377255011576e+24,0.32041867904054555,3.5676010791201145e+24,0.32359936426474367,3.551425138374049e+24,0.32666624768629293,3.535832587211769e+24,0.32962252314562823
58,3.060583204046833e+22,0.9975908115822172,1.218248958720413e+25,0.04103529110254256,1.2245000656684576e+25,0.03611462943334265,1.2307170630054552e+25,0.03122081770560492,1.236899920293896e+25,0.02635387987871618,1.2430486210784815e+25,0.021513828905735388
59,2.9607644894803007e+21,0.9911453126079303,2.561480332162594e+24,-6.660557833229061,2.523026780411197e+24,-6.545555717700054,2.4853113347245664e+24,-6.432761038287266,2.4483165240410996e+24,-6.322121544705525,2.4120253782612816e+24,-6.21358648488497
60,5.519785147265737e+21,0.9995650760049464,6.481877733928087e+24,0.48926922257364924,6.517324492999741e+24,0.4864762431993006,6.552603678373445e+24,0.4836964675675316,6.587714253592041e+24,0.48092997734458,6.622655290199506e+24,0.4781768456868807
61,4.680792122207662e+21,0.9996119354376846,6.589633514496082e+24,0.4536815182436059,6.617758485400975e+24,0.4513497965521941,6.645885674732787e+24,0.449017890940444,6.674009741654445e+24,0.4466862441944367,6.702125581218408e+24,0.44435527954365595
62,6.850470840332855e+22,0.9907933517005694,3.883760187185672e+24,0.4780444299940715,3.8845957209948766e+24,0.47793213893988096,3.8857942593241986e+24,0.4777710621156941,3.887343511950364e+24,0.47756285125853526,3.889231598918819e+24,0.47730910296761553
63,4.2661703033236415e+21,0.9993774333016293,3.939882138450663e+24,0.42504887510136435,3.9343994851846866e+24,0.42584896443194065,3.9293780840486126e+24,0.4265817427563421,3.9248035439462946e+24,0.4272493101822945,3.9206619407750647e+24,0.4278536986686766
64,4.0731389372581077e+21,0.999285296099661,2.6434185782821266e+24,0.5361656950011631,2.6457423410342134e+24,0.5357579499357574,2.648294312503717e+24,0.5353101616351609,2.6510664294556357e+24,0.5348237449358411,2.6540509015037503e+24,0.5343000667981451
65,3.8369950764024086e+21,0.9980224322968921,1.7140856460247823e+24,0.11656899567420032,1.6880873779235483e+24,0.12996837052613386,1.6627572319340304e+24,0.14302339864747393,1.6380777438955266e+24,0.15574308097762202,1.6140319762235525e+24,0.16813614706128122
